epoch,model_name,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_specificity,val_tn,val_fp,val_fn,val_tp
12,convlstm,0.0001,0.07285041168226505,0.9715004621546678,0.2607855506150017,0.9123278999841747,0.9083969973006268,0.931827687160184,0.8894211576846307,0.9004582484725051,3537,391,163,2228
13,convlstm,0.0001,0.07205516729254038,0.9723220704529115,0.2374489376768001,0.9253046368096218,0.9210983389892564,0.917607695524885,0.902880658436214,0.929989816700611,3653,275,197,2194
14,convlstm,0.0001,0.06348329401884258,0.9746841943103626,0.24935800170123415,0.921664820382972,0.9163698906313278,0.8854035968214137,0.8953267075491648,0.9437372708757638,3707,221,274,2117
15,convlstm,0.0001,0.06031325063498417,0.9774057717982951,0.2756958674126356,0.9180250039563222,0.9142905996334119,0.9372647427854455,0.8964,0.9063136456211812,3560,368,150,2241
16,convlstm,0.0001,0.05686638471134343,0.9790489883947828,0.2604607842946509,0.9207153030542807,0.9163851370758644,0.9159347553324969,0.8973570989551322,0.9236252545824847,3628,300,201,2190
17,convlstm,0.0001,0.052810427257109195,0.9795624935811852,0.2625780060527334,0.9230890963760089,0.918528836493244,0.9071518193224593,0.8992537313432836,0.9327902240325866,3664,264,222,2169
18,convlstm,0.0001,0.04866484993902506,0.9825921741809592,0.2660463027022903,0.9218230732710871,0.9179965836660315,0.9326641572563781,0.9002825999192572,0.915224032586558,3595,333,161,2230
19,convlstm,5e-05,0.04870604081091798,0.9819246174386361,0.26758889863452556,0.9235638550403544,0.9193524311576611,0.918444165621079,0.9009230769230769,0.9266802443991853,3640,288,195,2196
20,convlstm,5e-05,0.03668096229698767,0.9864948135976174,0.2879847811018575,0.9232473492641241,0.9195652064937412,0.9372647427854455,0.9023555466076102,0.914714867617108,3593,335,150,2241
21,convlstm,5e-05,0.033455389308968624,0.9878812776009037,0.28759654638499976,0.9218230732710871,0.9175846556387598,0.918444165621079,0.898894801473598,0.9238798370672098,3629,299,195,2196
22,convlstm,5e-05,0.03128190512594941,0.9877272260449831,0.2997166136661137,0.9275201772432347,0.9237843853561625,0.9330823923044751,0.906910569105691,0.9241344195519349,3630,298,160,2231
23,convlstm,5e-05,0.02879992682778307,0.9901407004210743,0.2939940648915226,0.9273619243551194,0.9233010305655238,0.9213718109577582,0.9056526207605344,0.9310081466395111,3657,271,188,2203
24,convlstm,5e-05,0.029402779438014,0.9892677416041902,0.2834148291551801,0.9283114416838107,0.9244305117088597,0.9272271016311167,0.907305095150399,0.9289714867617108,3649,279,174,2217
25,convlstm,5e-05,0.025893157243206785,0.9909623087193181,0.3065440288575537,0.9273619243551194,0.9236123450974579,0.9326641572563781,0.9066883512909127,0.9241344195519349,3630,298,161,2230
26,convlstm,5e-05,0.026394015070074103,0.9903974530142754,0.3242233802447791,0.9191327741731287,0.9146380437113858,0.9113341698034295,0.8950503183405216,0.9238798370672098,3629,299,212,2179
27,convlstm,5e-05,0.025664519766150307,0.9907055561261169,0.32850206981756985,0.924671625257161,0.9211523386464593,0.9427017984107068,0.9044943820224719,0.9136965376782077,3589,339,137,2254
28,convlstm,5e-05,0.02518798305278192,0.9903461024956353,0.30575552145393786,0.9234056021522393,0.9192895486479029,0.9217900460058553,0.9010629599345871,0.9243890020366599,3631,297,187,2204
29,convlstm,5e-05,0.02385456993245449,0.99137311286844,0.33333961836163345,0.9199240386137048,0.9160286510857872,0.93099121706399,0.8979427188382412,0.9131873727087576,3587,341,165,2226
30,convlstm,2.5e-05,0.023541253576241875,0.9914758139057205,0.32942817028999694,0.9200822915018199,0.9157813036206865,0.917189460476788,0.8967491310570436,0.9218431771894093,3621,307,198,2193
31,convlstm,2.5e-05,0.020953155555121034,0.9925541747971655,0.3289211500596038,0.922456084823548,0.9182396045305512,0.9188624006691761,0.8996723996723996,0.924643584521385,3632,296,194,2197
32,convlstm,2.5e-05,0.01970216036558341,0.9927595768717264,0.33972626653554694,0.9257793954739674,0.9219366045715173,0.9301547469677959,0.9046166361602603,0.9231160896130346,3626,302,167,2224
33,convlstm,2.5e-05,0.01836176361116578,0.9935811851699702,0.3357978296523655,0.9245133723690457,0.9204508551031039,0.9230447511501464,0.9024739317113065,0.9254073319755601,3635,293,184,2207
