model_name,split,level,aggregation,threshold,accuracy,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,sensitivity_fall_recall,specificity_not_fall_recall,tn,fp,fn,tp,num_sequences,num_videos
cnn,train,sequence,none,,0.9930163294649276,0.9925259043467742,0.9924687358822648,0.9924973072091374,0.9906620209059234,0.9903859551344573,0.9905239687848384,0.994389787787625,0.9945515166300724,0.9944706456334363,0.9903859551344573,0.9945515166300724,12230,67,69,7108,19474,3126
lstm,train,video,majority_vote,,0.9974408189379399,0.9976348669680133,0.9971840718594666,0.9974056422715984,0.9959954233409611,0.9994259471871412,0.9977077363896848,0.9992743105950653,0.994942196531792,0.997103548153512,0.9994259471871412,0.994942196531792,1377,7,1,1741,19474,3126
convlstm,train,video,majority_vote,,0.9958413307741523,0.9956088487014303,0.9959716756369332,0.9957876152904237,0.9976971790443293,0.994833524684271,0.9962632940500143,0.9935205183585313,0.9971098265895953,0.995311936530833,0.994833524684271,0.9971098265895953,1380,4,9,1733,19474,3126
cnn,train,video,majority_vote,,0.9910428662827895,0.990996212774997,0.9908495815719092,0.9909224751500579,0.9913990825688074,0.9925373134328358,0.9919678714859438,0.9905933429811867,0.9891618497109826,0.9898770788141721,0.9925373134328358,0.9891618497109826,1369,15,13,1729,19474,3126
lstm,train,video,mean_prob,0.5,0.9977607165706974,0.9979201888827963,0.9975453435357671,0.9977301081824093,0.996565540927304,0.9994259471871412,0.9979936944683291,0.9992748368382887,0.9956647398843931,0.9974665218964893,0.9994259471871412,0.9956647398843931,1378,6,1,1741,19474,3126
convlstm,train,video,mean_prob,0.5,0.9955214331413947,0.9952508039651229,0.9956846492305038,0.9954639171838393,0.9976958525345622,0.9942594718714122,0.9959746981023577,0.9928057553956835,0.9971098265895953,0.9949531362653208,0.9942594718714122,0.9971098265895953,1380,4,10,1732,19474,3126
cnn,train,video,mean_prob,0.5,0.9904030710172744,0.9901361497365218,0.9904240192987929,0.9902783997611584,0.9925201380897584,0.9902411021814007,0.9913793103448276,0.9877521613832853,0.990606936416185,0.9891774891774892,0.9902411021814007,0.990606936416185,1371,13,17,1725,19474,3126
cnn,val,sequence,none,,0.932267763886691,0.9249837419166271,0.9334908848609986,0.9287556460054426,0.8887128712871287,0.9385194479297365,0.9129373474369405,0.9612546125461254,0.9284623217922607,0.9445739445739446,0.9385194479297365,0.9284623217922607,3647,281,147,2244,6319,1042
convlstm,val,sequence,none,,0.9283114416838107,0.9213535798003984,0.9280992941964137,0.9244305117088597,0.8882211538461539,0.9272271016311167,0.907305095150399,0.9544860057546429,0.9289714867617108,0.9415559282673204,0.9272271016311167,0.9289714867617108,3649,279,174,2217,6319,1042
lstm,val,sequence,none,,0.9256211425858522,0.9190574027026032,0.924135164879159,0.9214326680613358,0.8890238963142972,0.918025930572982,0.9032921810699589,0.9490909090909091,0.9302443991853361,0.9395731550527128,0.918025930572982,0.9302443991853361,3654,274,196,2195,6319,1042
cnn,val,video,majority_vote,,0.9289827255278311,0.9289902866725945,0.9269081283298672,0.9278598586910963,0.9289340101522843,0.9449225473321858,0.9368600682593856,0.9290465631929047,0.9088937093275488,0.918859649122807,0.9449225473321858,0.9088937093275488,419,42,32,549,6319,1042
lstm,val,video,majority_vote,,0.9289827255278311,0.9289902866725945,0.9269081283298672,0.9278598586910963,0.9289340101522843,0.9449225473321858,0.9368600682593856,0.9290465631929047,0.9088937093275488,0.918859649122807,0.9449225473321858,0.9088937093275488,419,42,32,549,6319,1042
convlstm,val,video,majority_vote,,0.9241842610364683,0.9246960303367744,0.9214851348374595,0.9228899365737457,0.9211409395973155,0.9449225473321858,0.9328802039082413,0.9282511210762332,0.8980477223427332,0.9128996692392503,0.9449225473321858,0.8980477223427332,414,47,32,549,6319,1042
cnn,val,video,mean_prob,0.5,0.9280230326295585,0.9276911205010638,0.9262715566324797,0.9269376936992526,0.9302721088435374,0.9414802065404475,0.9358426005132592,0.9251101321585903,0.911062906724512,0.9180327868852459,0.9414802065404475,0.911062906724512,420,41,34,547,6319,1042
convlstm,val,video,mean_prob,0.5,0.9241842610364683,0.9234125441167673,0.9228292158407414,0.9231129189686494,0.9297945205479452,0.9345955249569707,0.9321888412017167,0.9170305676855895,0.911062906724512,0.9140369967355821,0.9345955249569707,0.911062906724512,420,41,38,543,6319,1042
lstm,val,video,mean_prob,0.5,0.9232245681381958,0.9221926441433537,0.9221926441433537,0.9221926441433537,0.9311531841652324,0.9311531841652324,0.9311531841652324,0.913232104121475,0.913232104121475,0.913232104121475,0.9311531841652324,0.913232104121475,421,40,40,541,6319,1042
