velocity_threshold,angle_threshold,ratio_threshold,min_event_frames,accuracy,sensitivity_fall_recall,specificity_not_fall_recall,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,tn,fp,fn,tp
209.0513,45.0,1.0,1,0.5291970802919708,0.155902004454343,0.9785522788203753,0.6940136476426799,0.5672271416373591,0.45959545339491964,0.8974358974358975,0.155902004454343,0.2656546489563567,0.4905913978494624,0.9785522788203753,0.6535362578334826,365,8,379,70
218.5537,45.0,1.0,1,0.5267639902676399,0.1514476614699332,0.9785522788203753,0.6920064907577255,0.5649999701451542,0.45570790246393467,0.8947368421052632,0.1514476614699332,0.259047619047619,0.48927613941018766,0.9785522788203753,0.6523681858802503,365,8,381,68
228.056,45.0,1.0,1,0.5267639902676399,0.1514476614699332,0.9785522788203753,0.6920064907577255,0.5649999701451542,0.45570790246393467,0.8947368421052632,0.1514476614699332,0.259047619047619,0.48927613941018766,0.9785522788203753,0.6523681858802503,365,8,381,68
237.5583,45.0,1.0,1,0.5255474452554745,0.1492204899777283,0.9785522788203753,0.6909772423025435,0.5638863843990518,0.45375545256270444,0.8933333333333333,0.1492204899777283,0.25572519083969464,0.4886211512717537,0.9785522788203753,0.6517857142857143,365,8,382,67
247.0607,45.0,1.0,1,0.5231143552311436,0.1447661469933185,0.9785522788203753,0.6888636903999854,0.561659212906847,0.44983301575593665,0.8904109589041096,0.1447661469933185,0.24904214559386972,0.48731642189586116,0.9785522788203753,0.6506238859180036,365,8,384,65
252.0469,45.0,1.0,1,0.5206812652068127,0.1403118040089087,0.9785522788203753,0.6866712927364453,0.559432041414642,0.4458869422392554,0.8873239436619719,0.1403118040089087,0.2423076923076923,0.48601864181091875,0.9785522788203753,0.6494661921708185,365,8,386,63
256.563,45.0,1.0,1,0.5206812652068127,0.1403118040089087,0.9785522788203753,0.6866712927364453,0.559432041414642,0.4458869422392554,0.8873239436619719,0.1403118040089087,0.2423076923076923,0.48601864181091875,0.9785522788203753,0.6494661921708185,365,8,386,63
266.0653,45.0,1.0,1,0.5182481751824818,0.1358574610244989,0.9785522788203753,0.6843928633292915,0.5572048699224371,0.44191692326683446,0.8840579710144928,0.1358574610244989,0.23552123552123552,0.4847277556440903,0.9785522788203753,0.6483126110124334,365,8,388,61
275.5677,45.0,1.0,1,0.5182481751824818,0.13140311804008908,0.9839142091152815,0.6962503810588355,0.5576586635776852,0.43956475327984573,0.9076923076923077,0.13140311804008908,0.22957198443579765,0.4848084544253633,0.9839142091152815,0.6495575221238938,367,6,390,59
285.07,45.0,1.0,1,0.5170316301703163,0.1291759465478842,0.9839142091152815,0.6952094327176781,0.5565450778315828,0.43755202920357184,0.90625,0.1291759465478842,0.22612085769980506,0.4841688654353562,0.9839142091152815,0.6489832007073386,367,6,391,58
294.5723,45.0,1.0,1,0.5145985401459854,0.12472160356347439,0.9839142091152815,0.693060271646859,0.5543179063393779,0.4335078407428454,0.9032258064516129,0.12472160356347439,0.2191780821917808,0.48289473684210527,0.9839142091152815,0.6478375992939099,367,6,393,56
313.577,45.0,1.0,1,0.51338199513382,0.11804008908685969,0.9892761394101877,0.7060887512899897,0.5536581142485236,0.42899615857513007,0.9298245614035088,0.11804008908685969,0.20948616600790515,0.4823529411764706,0.9892761394101877,0.648506151142355,369,4,396,53
323.0793,45.0,1.0,1,0.51338199513382,0.11581291759465479,0.9919571045576407,0.7139267512148868,0.5538850110761477,0.4277360066833751,0.9454545454545454,0.11581291759465479,0.20634920634920634,0.48239895697522817,0.9919571045576407,0.6491228070175439,370,3,397,52
304.0747,45.0,1.0,1,0.5109489051094891,0.11804008908685969,0.9839142091152815,0.6896505764488972,0.5509771491010705,0.42739408894310743,0.8983050847457628,0.11804008908685969,0.20866141732283464,0.48099606815203144,0.9839142091152815,0.6461267605633803,367,6,396,53
